x,y,z
6.564,-11.926,1.529
2.355,-4.487,0.791
2.355,-4.487,0.791
78.634,-157.27,32.948
2.355,-4.487,0.791
5.65,-14.436,0.844
5.65,-14.436,0.844
128.345,-240.186,4.78
37.988,-58.886,-1.005
128.345,-240.186,4.78
5.65,-14.436,0.844
7.149,-24.366,6.267
7.149,-24.366,6.267
11.8,-44.329,12.35
5.65,-14.436,0.844
11.077,-37.246,-3.319
25.975,0.951,14.461
27.363,4.742,16.595
27.363,4.742,16.595
46.946,14.742,35.255
76.368,45.841,81.132
46.946,14.742,35.255
46.946,14.742,35.255
28.412,7.183,23.311
28.412,7.183,23.311
127.197,28.091,113.551
44.057,-5.22,-34.436
182.424,47.693,-106.061
182.424,47.693,-106.061
46.342,-8.417,-30.043
46.342,-8.417,-30.043
44.057,-5.22,-34.436
6.298,-217.61,-260.29
-6.474,-52.425,-62.676
-6.474,-52.425,-62.676
-25.642,-93.442,-143.602
-25.642,-93.442,-143.602
-14.501,-45.841,-80.149
-14.501,-45.841,-80.149
-4.256,-33.571,-60.263
-4.256,-33.571,-60.263
-28.427,-186.831,-284.2
-28.427,-186.831,-284.2
-18.72,-122.696,-180.792
-18.72,-122.696,-180.792
6.298,-217.61,-260.29
-25.878,-42.158,-14.868
-28.132,-38.552,-12.6
-28.132,-38.552,-12.6
-36.549,-42.42,-9.253
-36.549,-42.42,-9.253
-16.409,-15.152,-6.422
-16.409,-15.152,-6.422
-50.079,-51.89,-34.061
-50.079,-51.89,-34.061
-28.132,-38.552,-12.6
97.102,63.663,18.072
46.746,35.276,8.71
3.154,1.54,-1.002
27.584,5.31,-9.12
27.584,5.31,-9.12
84.158,7.151,-13.111
27.584,5.31,-9.12
34.756,10.724,-6.533
34.756,10.724,-6.533
32.242,12.38,-4.967
32.242,12.38,-4.967
62.659,33.127,-12.925
62.659,33.127,-12.925
135.315,100.082,-36.667
135.315,100.082,-36.667
16.13,13.483,-4.42
16.13,13.483,-4.42
87.167,75.855,-28.508
87.167,75.855,-28.508
20.29,15.864,-7.019
20.29,15.864,-7.019
3.154,1.54,-1.002
75.131,52.289,-4.761
16.13,13.483,-4.42
75.131,52.289,-4.761
149.571,124.93,1.117
149.571,124.93,1.117
18.44,15.931,1.378
18.44,15.931,1.378
53.343,54.414,5.448
53.343,54.414,5.448
95.543,95.306,21.151
95.543,95.306,21.151
19.693,17.262,4.671
19.693,17.262,4.671
46.746,35.276,8.71
46.746,35.276,8.71
95.643,77.363,12.047
95.643,77.363,12.047
18.44,15.931,1.378
33.288,30.498,23.262
15.732,9.752,8.034
15.732,9.752,8.034
14.753,8.063,6.389
14.753,8.063,6.389
41.77,22.568,16.62
41.955,-200.937,-17.049
80.74,-384.115,-39.213
80.74,-384.115,-39.213
128.921,-529.672,-152.236
128.921,-529.672,-152.236
11.867,-92.646,-24.27
11.867,-92.646,-24.27
8.558,-55.27,-8.103
8.558,-55.27,-8.103
41.955,-200.937,-17.049
-66.942,79.706,-73.721
-133.35,153.954,-133.213
-133.35,153.954,-133.213
-38.12,41.407,-29.561
-39.926,-33.844,12.787
-8.823,-5.933,3.699
-8.823,-5.933,3.699
-41.583,-36.463,28.27
-41.583,-36.463,28.27
-20.3,-23.25,20.286
-20.3,-23.25,20.286
-38.476,-39.135,46.692
-38.476,-39.135,46.692
-16.449,-12.861,16.495
-16.449,-12.861,16.495
-34.262,-26.727,25.465
-34.262,-26.727,25.465
-8.823,-5.933,3.699
-8.823,-5.933,3.699
-9.488,-5.188,3.597
-9.488,-5.188,3.597
-63.662,-32.956,20.282
56.126,136.91,-147.729
5.157,14.277,-13.602
5.157,14.277,-13.602
7.683,21.713,-17.447
-2.506,3.629,-18.981
-25.062,9.687,-133.349
-25.062,9.687,-133.349
-16.913,-1.357,-89.904
-59.175,66.477,48.847
-32.631,37.775,19.631
-32.631,37.775,19.631
-9.299,13.272,8.335
-32.631,37.775,19.631
-25.042,28.634,12.473
-25.042,28.634,12.473
-54.824,80.886,15.801
-25.042,28.634,12.473
-39.69,40.218,11.864
18.489,-26.888,-7.261
55.92,-79.117,-25.564
55.92,-79.117,-25.564
31.621,-30.021,-13.525
31.621,-30.021,-13.525
45.617,-37.521,-17.872
45.617,-37.521,-17.872
37.793,-26.441,-13.805
37.793,-26.441,-13.805
9.349,-6.127,-3.232
45.617,-37.521,-17.872
85.718,-67.776,-45.065
85.718,-67.776,-45.065
31.621,-30.021,-13.525
55.92,-79.117,-25.564
8.799,-9.937,-6.266
31.621,-30.021,-13.525
103.026,-110.655,-76.767
-8.981,8.002,-32.547
-36.799,18.4,-113.273
-36.799,18.4,-113.273
-53.421,18.667,-118.08
-53.421,18.667,-118.08
-210.973,73.12,-395.727
-210.973,73.12,-395.727
-2255.831,514.688,-3847.015
-2255.831,514.688,-3847.015
-14.784,4.415,-25.53
-14.784,4.415,-25.53
-226.221,96.166,-404.919
-226.221,96.166,-404.919
-100.395,48.38,-203.83
