hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
439,14.148074,3.449,0.081,-2.634,8.56,10.373,-1.4026209241043843e-05,0.00011824252907329552,-5.331084471871188e-05,M
1242,16.256967999999997,4.779,0.323,-1.386,11.49,13.001,-3.3750853618150124e-05,1.5362866585414555e-05,-6.099330070257783e-06,M
1475,11.613423999999998,2.553,0.205,2.476,8.09,10.331,-5.952062543410511e-07,5.0052550687216023e-05,1.31937386378933e-05,M
2021,24.379257999999997,1.64,0.185,-7.294,2.82,3.451,7.585300323793087e-06,8.181631538408666e-05,-2.023087650064377e-05,G
3765,24.238751999999998,7.239,1.551,0.684,5.74,6.384,-1.2329564608824248e-05,2.5223654737229703e-05,-4.195590478409214e-05,K
3821,19.407106,3.098,0.674,5.038,3.46,4.586,1.1052223351655911e-05,3.4513781222511675e-05,-1.5064240767085369e-06,G
3829,13.896075999999999,4.147,0.904,0.4,12.37,14.222,5.344379456933789e-05,3.771991800491579e-05,-5.057412317813344e-05,G
5336,24.62604,4.15,1.274,6.181,5.17,5.779,-4.6077350153498386e-05,0.00011692632555209804,-0.00011576250301354115,G
5643,12.029074,3.354,1.098,-1.079,12.1,14.265,2.250738701982449e-05,3.014382190155066e-05,2.6947912030733158e-06,M
7981,24.919114,6.465,3.101,2.648,5.24,5.823,-1.6532825270923424e-05,-2.0290192587846143e-05,-3.535238797261418e-05,K
8102,11.899652,3.154,1.54,-1.002,3.49,5.678,2.0719722874484012e-06,-3.289486111835036e-05,1.9306363693213683e-05,G
12114,23.407777999999997,5.538,4.488,0.861,5.79,6.509,-2.3756092924550305e-05,6.167952647003975e-05,5.3039831561666556e-05,K
15510,19.701484,2.839,3.381,-4.127,4.26,5.354,-1.7173029936245587e-05,0.00011797253860740886,-4.500352443690371e-05,G
16537,10.484485999999999,1.899,2.541,-0.529,3.72,6.183,2.2427617109448886e-05,4.581656390803968e-06,-2.563886734764631e-06,K
19849,16.24947,2.18,4.433,-0.664,4.43,5.942,2.460901735087408e-05,-7.259164113295902e-05,-7.608924489558169e-05,K
24186,12.824513999999999,0.582,2.719,-2.783,8.86,10.886,-0.00010009896522748007,0.0001238356270200158,-0.0002542287497493698,M
25878,18.595366,0.707,5.648,-0.366,7.97,9.189,-2.0320873322605993e-05,7.233494565213497e-06,-5.827498760285529e-05,M
26857,18.879312,0.44,5.637,1.252,11.56,12.746,-4.6928229197504836e-05,0.00011944214580240558,-1.9561013791720422e-05,M
29295,18.781512,-0.247,5.341,-2.146,8.15,9.347,3.945542490116453e-06,-3.2910201485730285e-06,-2.0252353014975665e-05,M
30920,13.453368,-0.527,4.088,-0.203,11.12,13.042,-1.5888529840966617e-05,1.4538577511533304e-05,-1.319987478484527e-05,M
32349,8.596946,-0.494,2.477,-0.758,-1.44,1.454,9.528413525250127e-06,-1.2072869128000186e-05,-1.2211955125578165e-05,A
33226,18.205796,-1.106,4.536,3.063,9.89,11.155,1.3196806711369286e-05,2.8927842113902017e-05,3.4965810714640103e-06,K
34603,19.731802,-1.424,4.516,3.77,11.65,12.74,-2.01981503835666e-06,4.926507849504659e-05,2.456504163105163e-06,M
36208,12.342685999999999,-1.403,3.499,0.345,9.84,11.949,-1.8606842940689147e-05,1.822844721198436e-05,-6.585926523548971e-05,M
37279,11.456292,-1.469,3.176,0.32,0.4,2.671,1.2115822156663973e-05,2.886034449743035e-06,-1.7925730629020523e-05,F
37766,19.523813999999998,-2.636,5.365,0.371,11.19,12.303,-2.8666033177284647e-06,2.873250810259765e-05,-1.1286419626989417e-05,M
45343,20.647536,-2.88,2.539,5.037,7.64,8.632,1.602045700043396e-05,4.91556505410698e-05,-1.935954363346409e-06,M
120005,20.648187999999998,-2.88,2.539,5.037,7.7,8.692,1.4285972795343888e-05,5.179828449505138e-05,-2.5475236762260456e-06,K
49908,15.878155999999997,-2.817,1.445,3.701,6.6,8.162,2.2283417656077603e-05,2.4748103348452057e-05,-2.834286277114758e-05,K
51317,22.942249999999998,-6.488,2.723,0.103,9.65,10.413,1.032918070248216e-07,2.2268077288697677e-05,-2.4848327082000895e-05,M
53020,22.711441999999998,-6.605,2.055,0.826,11.64,12.425,6.665900972156308e-06,2.821502637631488e-05,-2.7603457063435243e-05,M
53767,21.997501999999997,-6.008,1.608,2.618,10.03,10.884,-2.267306298752767e-06,1.5065263458244028e-05,-7.457463928960387e-06,M
54035,8.300286,-1.998,0.504,1.495,7.49,10.461,3.647734824714195e-05,-1.8224356447349712e-06,-9.884310048464364e-05,M
54211,15.989322,-3.456,0.838,3.378,8.82,10.367,-9.671590287462752e-06,0.00011015917815523424,6.436511345268511e-05,M
57544,17.128691999999997,-1.029,0.055,5.152,10.8,12.197,3.329780143486303e-05,-2.088233076871121e-05,-0.00010941874975636324,M
57548,11.002173999999998,-3.37,0.181,0.048,11.12,13.479,3.0945611769941356e-05,-1.1607544650809158e-05,-2.045586855554932e-05,M
65859,24.866301999999997,-6.932,-2.871,1.374,9.05,9.638,-3.776798448937289e-06,-4.66868740840607e-05,-3.646098518860336e-05,M
67155,17.717774,-4.703,-2.338,1.397,8.46,9.784,-1.7825506895471687e-06,-5.3144146059850044e-05,-3.295826797018738e-05,M
70890,4.24452,-0.474,-0.363,-1.157,11.01,15.437,-9.763632491742296e-06,2.258920231251742e-05,2.216683086399018e-05,M
71253,19.75886,-4.626,-3.689,-1.314,11.32,12.407,-1.6538961417875396e-05,2.474912603961072e-07,1.5075490369830644e-05,M
71681,4.318848,-0.495,-0.414,-1.157,1.35,5.739,-7.217131506674911e-06,2.476242102467332e-05,2.4906620478044604e-05,K
71683,4.318848,-0.495,-0.414,-1.157,-0.01,4.379,-7.218154197833572e-06,2.476344371583198e-05,2.4905597786885943e-05,G
72659,22.016735999999998,-4.679,-4.34,2.21,4.54,5.392,1.390859975779776e-06,-4.401662746879527e-06,-7.220199580150895e-07,G
73182,19.316152,-3.944,-3.857,-2.163,8.01,9.146,1.3324643106201986e-05,-2.6626787006913417e-05,-5.4991126292392894e-05,K
73184,19.189664,-3.918,-3.832,-2.149,5.72,6.871,1.5214576367408623e-05,-2.6293389689189734e-05,-5.5780643866879644e-05,K
74995,20.53963,-4.024,-4.773,-0.847,10.57,11.573,-2.1895817706944856e-05,3.190182800328995e-05,-1.6035797367813887e-06,M
76074,19.290398,-2.673,-3.554,-3.904,9.31,10.449,-2.4976163476833595e-05,2.2938962688779686e-05,-3.643848598311281e-05,M
80459,21.120887999999997,-1.516,-3.463,5.262,10.13,11.073,1.3878941714196572e-05,-2.1496968155066827e-06,-1.424813322247341e-05,M
80824,14.043428,-1.603,-3.885,-0.944,10.1,11.929,8.545607321776328e-06,2.5865904784869186e-05,-1.9236820694424695e-05,M
82724,12.050264,-0.483,-1.643,-3.276,11.85,14.011,4.1439445748968024e-06,-4.618473272515785e-06,1.7058488526475487e-06,M
82809,21.186087999999998,-1.788,-6.177,-0.94,11.73,12.666,-2.78816290585912e-05,-3.68168817118176e-06,-3.0263476767114064e-05,M
82817,20.197004,-1.703,-5.889,-0.898,9.02,10.06,-2.6267822410223192e-05,-1.1648452297155623e-06,-2.7910264411033723e-05,M
83609,18.30653,-1.103,-4.536,-3.121,9.25,10.503,4.120422678247586e-06,1.1965486556340718e-06,-3.194887179658838e-06,G
83945,24.27233,-1.176,-5.254,5.142,11.77,12.411,1.0247365409789231e-05,-9.396486365782781e-06,-7.257016461862713e-06,M
84140,19.486976,-0.866,-4.086,4.275,9.31,10.427,6.844871924922088e-06,-1.3261236254364968e-05,-5.41811548947329e-05,K
84405,19.404498,-1.03,-5.222,-2.665,4.33,5.457,-1.128846500930674e-05,1.711575923136054e-05,-2.9772585010956496e-05,K
84478,19.409062,-1.011,-5.229,-2.661,6.33,7.456,-1.0825185914433036e-05,1.6928606749325466e-05,-2.900045318616699e-05,K
84709,22.284381999999997,-0.998,-5.511,-3.92,5.91,6.736,3.764935231496814e-05,-5.82933960437112e-06,-2.993417021402503e-06,K
85523,14.842128,-0.424,-3.082,-3.324,9.38,11.089,1.4774819169184133e-05,1.466948197984199e-05,-1.0764847136072e-05,K
86162,14.832348,-0.172,-1.671,4.229,9.15,10.86,-8.588560350440116e-06,-1.4315630838945075e-05,-3.781196020919533e-05,M
86214,16.556562,-0.363,-3.615,-3.548,10.94,12.411,-1.1399938345600855e-05,6.148419245873539e-05,2.6344524247122815e-05,M
86990,19.198466,-0.186,-3.174,-4.957,10.75,11.9,-2.8511606812326748e-05,5.8490775437332886e-05,1.6825314942300645e-05,M
87937,5.959931999999999,-0.017,-1.822,0.15,9.54,13.23,-5.955130616886497e-06,0.00012017336998084863,8.229391215518162e-05,M
88601,16.571884,0.121,-5.077,0.222,4.03,5.499,2.9259194049308374e-06,6.086035085195181e-06,-2.400972033189838e-05,K
