hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
1.0,219.7802,219.741,0.003,4.177,9.1,2.39,3.78395728704792e-08,-5.540940697628549e-06,-2.0024292886594126e-06,F
2.0,37.3164,35.176,0.003,-12.456,9.27,6.411,6.5196561364677e-06,3.252873768354951e-05,-2.5096841033555666e-06,K
3.0,334.1479,260.197,0.023,209.648,6.61,-1.01,2.444231869201224e-06,9.33307951394576e-06,-3.0353473589076284e-06,B
4.0,136.7402,84.386,0.013,-107.596,8.06,2.381,-7.656888704899399e-06,4.107639038764316e-05,1.1153469776363407e-05,F
5.0,383.802,291.448,0.051,-249.724,8.55,0.629,2.607351109007749e-05,1.9052736285865608e-06,-9.439439394446568e-07,G
7.0,57.1716,53.711,0.021,19.588,9.64,5.854,2.3812340938276693e-05,-5.722877454754447e-05,-4.917814974656036e-05,G
8.0,657.7118,591.718,0.282,287.15,9.05,-0.04,-1.954158265970585e-05,5.976402592986658e-05,-3.240703743566878e-05,M
9.0,322.5731,259.014,0.16,192.263,8.59,1.047,3.37488082358328e-06,-9.49159664353831e-06,2.0605181464713915e-05,G
10.0,93.4373,58.97,0.037,-72.478,8.59,3.737,1.881240386358013e-05,1.917239115142901e-05,6.178077289474726e-06,F
11.0,297.2196,202.931,0.132,217.16,7.34,-0.025,-1.583330451839889e-05,1.58517129592548e-05,-2.1326178731570345e-05,A
12.0,551.218,446.169,0.318,-323.688,8.43,-0.277,1.025861501253451e-05,-1.473288883167901e-05,-2.726494628991825e-06,K
13.0,415.2382,383.367,0.279,-159.539,8.8,0.709,-1.3280667386379537e-05,1.17476533395458e-05,-1.735609165364601e-05,K
14.0,166.7616,166.758,0.141,-1.049,7.25,1.14,2.3392014872066776e-05,4.749786817287935e-05,-8.402430559563704e-06,A
15.0,396.0139,250.34,0.22,306.85,8.6,0.611,-1.557660903757483e-05,2.48800305079194e-05,-2.9341009342001304e-06,K
17.0,149.2203,113.987,0.101,-96.3,8.15,2.281,4.49370495115907e-06,-2.503138879940132e-05,-3.0072233520444348e-05,F
19.0,224.425,176.114,0.164,139.106,6.53,-0.225,1.2324451153030942e-05,-4.632790948737048e-07,-8.449474352862138e-06,G
20.0,99.3412,91.082,0.1,39.659,8.51,3.524,4.004244962623629e-05,1.7464496916464144e-05,5.365037818338754e-06,G
21.0,284.9418,282.164,0.327,39.692,7.55,0.276,-1.1713904531309969e-05,8.465735142284858e-05,-1.7038034703302255e-06,K
22.0,206.0839,134.244,0.164,-156.362,8.69,2.12,9.399554439258764e-06,-7.22326765362688e-06,-8.203005783624694e-06,G
23.0,93.1977,90.693,0.118,21.459,7.57,2.723,-1.4910837093286128e-05,2.4116080212399183e-05,8.508790440064511e-07,F
24.0,91.7304,84.152,0.112,-36.508,9.05,4.237,3.6806654800230985e-06,5.691787643531135e-05,8.658103349229105e-06,G
25.0,81.367,58.243,0.081,-56.818,6.28,1.728,-2.776095150186913e-05,2.298293840860213e-05,-3.2818159281450744e-05,G
26.0,103.9258,101.099,0.148,-24.073,9.13,4.046,-7.565869191778516e-06,-5.055060128148423e-05,-1.4533464055739996e-05,F
27.0,113.0959,84.968,0.127,-74.64,9.32,4.053,-7.08929511184221e-05,7.360819614466865e-05,-1.974509820027951e-05,G
28.0,227.5478,165.434,0.252,-156.235,8.83,2.045,-5.917291044016017e-06,-1.200434882036986e-05,-6.285459861134193e-06,F
29.0,480.5638,314.594,0.506,-363.279,9.14,0.731,4.469160363351192e-06,6.277994215675964e-05,1.10338149108e-05,G
30.0,376.8465,279.428,0.469,252.85,8.26,0.379,-7.863472318949042e-06,-1.5128670310081046e-05,-3.289281573603303e-05,A
31.0,503.8106,503.261,0.862,23.517,7.63,-0.881,4.217578338320438e-06,-3.0752323140954317e-06,5.839566515957736e-07,K
32.0,1014.1238,625.2,1.076,798.481,9.09,-0.94,8.580378821170824e-06,-7.836882348823841e-06,-6.707831309661434e-06,B
33.0,112.6843,110.811,0.192,-20.462,8.1,2.841,-1.5407864996395664e-05,-1.8142541154656784e-06,1.8890128391638413e-05,F
34.0,62.3073,55.557,0.097,28.208,6.43,2.457,6.371365918461768e-07,1.3428957604385467e-05,-1.755244835610904e-05,F
35.0,187.4506,181.487,0.326,-46.904,9.07,2.706,-5.697821521367238e-05,0.0001493814294722,1.3502591367809104e-05,G
36.0,168.3134,164.47,0.297,35.762,7.68,1.549,-1.5205372146980667e-05,4.351346341873376e-05,8.220391533321941e-06,K
39.0,86.8674,83.205,0.163,-24.958,7.46,2.766,-6.019560159882177e-06,7.057489416807834e-05,-1.1555387401717416e-05,F
38.0,40.0972,7.608,0.015,-39.369,8.65,5.634,-1.0004987605186433e-05,3.1554113009345e-05,-1.2162865949962408e-05,G
41.0,601.4489,350.95,0.714,488.44,8.7,-0.196,-7.560755735985208e-06,9.271718044426066e-06,-1.3190670564417316e-05,A
